time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
5.154809,0.1663,-0.5019,0.2078,0.568
5.164618,0.2200,-0.5398,0.0870,0.589
5.179195,0.3419,-0.7644,0.1674,0.854
5.184880,0.6337,-0.9759,0.5109,1.271
5.195375,1.2212,-1.4069,1.5505,2.424
5.204117,2.0423,-1.6750,2.9237,3.940
5.220540,2.1416,-1.8074,4.7272,5.495
5.223808,1.9513,-1.7416,4.6475,5.333
5.234921,1.2368,-1.7136,3.6801,4.244
5.244395,0.5543,-1.4591,2.2112,2.707
5.260341,-0.0151,-0.9437,0.8447,1.267
5.264006,0.0390,-0.8712,0.4399,0.977
5.273874,0.3385,-0.8393,-0.1670,0.920
5.284621,0.8192,-0.8011,-0.3834,1.208
5.300363,0.2332,-0.4305,-1.2108,1.306
5.303945,-0.2118,-0.6905,-1.2913,1.480
5.315444,-0.6915,-0.2298,-0.6577,0.982
5.324079,-0.4447,-0.1225,-0.9196,1.029
