성별,졸업시기,급여,안정성,직무내용,근로시간,발전가능성,승진제도,직장만족도,전공적합도,이직
0,1,160,3,5,5,5,3,4,1,0
1,1,266,3,4,2,3,3,3,1,0
1,0,190,4,4,4,4,3,4,4,0
0,0,300,4,4,2,4,4,4,1,0
0,0,190,2,4,4,4,2,3,4,1
1,1,233,4,4,4,4,3,4,3,0
1,0,180,3,4,4,3,3,4,3,0
1,1,160,3,5,2,5,3,3,5,1
1,0,190,1,4,5,2,3,2,5,1
1,0,160,2,2,4,2,2,2,3,1
0,0,225,4,4,3,2,1,2,1,1
1,0,180,3,3,3,3,3,3,3,0
1,0,208,4,3,4,3,3,4,2,0
0,0,280,5,4,4,4,4,5,3,0
1,0,210,4,4,4,4,4,4,2,1
1,1,215,2,4,4,3,2,4,1,1
0,0,155,3,3,3,1,3,3,1,1
0,1,320,5,5,5,3,5,4,2,0
0,0,200,3,3,3,3,3,3,2,0
0,0,280,4,3,3,3,3,3,2,0
0,0,207,5,4,5,3,4,1,2,1
0,1,370,5,4,5,3,2,5,1,0
0,1,300,4,4,4,5,4,4,3,0
1,0,170,5,5,2,5,5,5,5,0
1,0,220,4,4,4,4,4,4,3,0
1,1,170,3,3,3,3,3,3,1,1
0,0,180,4,5,5,4,3,4,3,0
0,0,200,3,4,5,4,3,4,3,1
0,0,180,5,5,5,5,5,5,2,0
0,0,240,3,4,4,4,3,3,4,0
0,0,200,4,4,4,4,4,4,3,0
1,1,180,3,4,4,4,3,3,4,0
0,0,170,4,5,5,5,4,5,4,0
1,1,275,4,3,3,1,1,3,1,0
0,0,290,5,5,5,5,5,4,2,0
1,0,200,3,2,2,1,3,2,1,1
0,1,191,4,4,4,3,4,4,1,0
0,0,190,4,4,4,4,4,5,4,0
0,0,300,3,3,4,2,2,2,1,1
0,0,170,3,3,3,2,2,2,2,1
1,1,215,4,4,4,4,4,4,4,0
1,1,300,5,4,5,3,4,4,1,1
1,0,187,4,3,3,2,2,3,3,1
0,0,316,5,5,3,5,5,5,4,0
0,0,250,4,3,5,3,3,3,3,0
1,0,230,4,3,4,3,3,3,1,1
1,0,192,4,3,4,4,3,3,4,0
0,0,250,4,4,4,4,3,4,1,1
1,1,216,4,4,4,4,3,3,3,0
0,0,220,4,3,4,4,4,4,3,0
0,0,230,2,4,3,4,3,3,3,0
1,1,170,4,3,4,4,2,2,1,0
0,0,200,4,4,4,5,2,4,5,1
1,0,270,3,4,5,3,3,4,4,0
0,0,200,3,4,3,5,4,4,3,0
1,0,190,4,4,4,4,3,3,3,0
0,1,230,4,3,2,1,2,3,1,1
1,1,170,2,3,4,2,2,4,4,0
1,0,190,4,4,5,3,4,4,3,0
0,1,350,5,4,4,4,4,4,2,0
1,0,160,3,3,3,3,3,3,1,0
0,0,400,5,4,5,5,4,4,3,0
1,0,220,4,4,3,5,5,4,1,0
1,0,270,3,3,4,3,4,3,2,0
1,0,341,5,2,5,3,3,3,2,0
1,1,250,3,4,3,4,3,4,4,0
0,0,190,5,5,3,4,4,4,1,0
